"date","difficulty","median_sec","vs_weekday"
"2016-05-14","Hard",2835,0
"2016-05-15","Average",2759,-9
"2016-05-16","Average",568,-14
"2016-05-17","Hard",1408,13
"2016-05-18","Very Easy",783,-28
"2016-05-19","Hard",2808,16
"2016-05-20","Easy",1250,-20
"2016-05-21","Average",2749,-3
"2016-05-22","Average",76,-7
"2016-05-23","Very Easy",334,-55
"2016-05-24","Easy",652,-25
"2016-05-25","Average",957,-12
"2016-05-26","Easy",1309,-26
"2016-05-27","Very Hard",3049,24
"2016-05-28","Average",2312,-7
"2016-05-29","Hard",63,3
"2016-05-30","Easy",489,-17
"2016-05-31","Very Easy",458,-44
"2016-06-01","Easy",801,-25
"2016-06-02","Easy",1427,-21
"2016-06-03","Average",1359,-16
"2016-06-04","Very Hard",65,27
"2016-06-05","Average",2511,-19
"2016-06-06","Average",599,0
"2016-06-07","Very Hard",1318,27
"2016-06-08","Easy",828,-21
"2016-06-09","Very Easy",1192,-27
"2016-06-10","Average",1577,-8
"2016-06-11","Hard",3059,3
"2016-06-12","Easy",2316,-22
"2016-06-13","Average",562,-10
"2016-06-14","Easy",724,-17
"2016-06-15","Very Easy",770,-27
"2016-06-16","Very Hard",3125,36
"2016-06-17","Average",1409,-10
"2016-06-18","Easy",1914,-25
"2016-06-19","Very Hard",76,19
"2016-06-20","Very Easy",433,-30
"2016-06-21","Easy",721,-17
"2016-06-22","Average",975,-10
"2016-06-23","Easy",1394,-18
"2016-06-24","Average",1316,-13
"2016-06-25","Average",2673,-1
"2016-06-26","Average",2696,-11
"2016-06-27","Hard",684,6
"2016-06-28","Very Hard",2792,19
"2016-06-29","Average",952,-1
"2016-06-30","Hard",2053,1
"2016-07-01","Very Hard",2763,29
"2016-07-02","Easy",1559,-27
"2016-07-03","Very Hard",97,19
"2016-07-04","Very Hard",1022,19
"2016-07-05","Hard",975,2
"2016-07-06","Very Hard",1671,37
"2016-07-07","Average",1895,-4
"2016-07-08","Hard",2111,4
"2016-07-09","Very Easy",1420,-36
"2016-07-10","Average",63,-7
"2016-07-11","Very Hard",2057,21
"2016-07-12","Average",912,-2
"2016-07-13","Average",917,-7
"2016-07-14","Easy",1348,-18
"2016-07-15","Hard",1940,7
"2016-07-16","Hard",2615,8
"2016-07-17","Average",67,-2
"2016-07-18","Hard",614,2
"2016-07-19","Easy",633,-23
"2016-07-20","Average",847,-10
"2016-07-21","Hard",1957,2
"2016-07-22","Very Hard",65,46
"2016-07-23","Average",2118,-13
"2016-07-24","Average",3068,-5
"2016-07-25","Average",611,-2
"2016-07-26","Easy",590,-24
"2016-07-27","Average",912,-16
"2016-07-28","Very Hard",3310,18
"2016-07-29","Easy",1455,-20
"2016-07-30","Very Easy",1408,-35
"2016-07-31","Hard",83,11
"2016-08-01","Average",704,0
"2016-08-02","Very Hard",1711,38
"2016-08-03","Average",1034,-5
"2016-08-04","Average",1258,-16
"2016-08-05","Hard",3039,12
"2016-08-06","Average",1864,-14
"2016-08-07","Average",2918,-13
"2016-08-08","Easy",492,-21
"2016-08-09","Very Easy",535,-37
"2016-08-10","Very Hard",1619,21
